A;008;20010822 12:46;CDIXON;
B;008;208994;63;20010822 12:46;;;9;BRUMBY CRES;MARYLAND;2287;825.6;M;20010405;20010517;231000;A;R;;;AA;;;7634333;
C;008;208994;63;20010822 12:46;1210//1000192;
D;008;208994;63;20010822 12:46;P;;;;;;
D;008;208994;63;20010822 12:46;P;;;;;;
D;008;208994;63;20010822 12:46;V;;;;;;
B;008;209020;64;20010822 12:46;;;507;BRUNKER RD;ADAMSTOWN HEIGHTS;2289;796.7;M;20010322;20010412;224000;A;R;;;HA;;;7616074;
C;008;209020;64;20010822 12:46;1//124605 1//514369;
D;008;209020;64;20010822 12:46;P;;;;;;
D;008;209020;64;20010822 12:46;P;;;;;;
D;008;209020;64;20010822 12:46;V;;;;;;
D;008;209020;64;20010822 12:46;V;;;;;;
B;008;209229;65;20010822 12:46;;;196;BRUNKER RD;ADAMSTOWN;2289;;;20010324;20010427;153500;A;R;;;HB;;;7598537;
C;008;209229;65;20010822 12:46;B//327647;
D;008;209229;65;20010822 12:46;P;;;;;;
D;008;209229;65;20010822 12:46;P;;;;;;
D;008;209229;65;20010822 12:46;V;;;;;;
B;008;209318;66;20010822 12:46;;;372;BRUNKER RD;ADAMSTOWN;2289;778.6;M;20010313;20010504;310000;A;R;;;HB;;;7598897;
C;008;209318;66;20010822 12:46;2//710992;
D;008;209318;66;20010822 12:46;P;;;;;;
D;008;209318;66;20010822 12:46;P;;;;;;
D;008;209318;66;20010822 12:46;V;;;;;;
B;008;209467;67;20010822 12:46;;;26;BRYANT ST;TIGHES HILL;2297;461.6;M;20010309;20010410;176500;A;R;;;DD;;;7571173;
C;008;209467;67;20010822 12:46;1//948359;
D;008;209467;67;20010822 12:46;P;;;;;;
D;008;209467;67;20010822 12:46;V;;;;;;
D;008;209467;67;20010822 12:46;V;;;;;;
B;008;209552;68;20010822 12:46;;;16;BUCHANAN ST;MEREWETHER;2291;;;20010316;20010501;440000;A;R;;;HL;;;7623575;
C;008;209552;68;20010822 12:46;2//152164;
D;008;209552;68;20010822 12:46;P;;;;;;
D;008;209552;68;20010822 12:46;V;;;;;;
B;008;209832;69;20010822 12:46;;;20;BUNN ST;WALLSEND;2287;411;M;20010223;20010430;153000;A;R;;;AD;;;7592234;
C;008;209832;69;20010822 12:46;1//716956;
D;008;209832;69;20010822 12:46;P;;;;;;
D;008;209832;69;20010822 12:46;P;;;;;;
D;008;209832;69;20010822 12:46;V;;;;;;
B;008;209941;70;20010822 12:46;;;36 A;BURUDA ST;MAYFIELD WEST;2304;;;20010319;20010420;118500;A;3;NULL;;JF;;;7574944;
C;008;209941;70;20010822 12:46;A//153897;
