A;010;20030619 08:55;PDANN;
D;010;282145;60;20030619 08:55;P;;;;;;
D;010;282145;60;20030619 08:55;P;;;;;;
D;010;282145;60;20030619 08:55;V;;;;;;
D;010;282145;60;20030619 08:55;V;;;;;;
B;010;282262;61;20030619 08:55;;;23;TOMAREE RD;SHOAL BAY;2315;600.7;M;20030125;20030310;460000;A;R;RESIDENCE;;GK;AC;0;9453950;
C;010;282262;61;20030619 08:55;58//20240;
D;010;282262;61;20030619 08:55;P;;;;;;
D;010;282262;61;20030619 08:55;P;;;;;;
D;010;282262;61;20030619 08:55;V;;;;;;
B;010;283079;62;20030619 08:55;;;24 A;DANALENE PDE;CORLETTE;2315;400;M;20030304;20030304;650000;A;R;RESIDENCE;;FA;AC;0;9472434;
C;010;283079;62;20030619 08:55;72//876098;
D;010;283079;62;20030619 08:55;P;;;;;;
D;010;283079;62;20030619 08:55;V;;;;;;
B;010;283922;63;20030619 08:55;;;5;KEMP ST;SALAMANDER BAY;2317;720.8;M;20030211;20030318;320000;A;R;RESIDENCE;;FF;AC;0;9470157;
C;010;283922;63;20030619 08:55;15//241878;
D;010;283922;63;20030619 08:55;P;;;;;;
D;010;283922;63;20030619 08:55;P;;;;;;
D;010;283922;63;20030619 08:55;V;;;;;;
D;010;283922;63;20030619 08:55;V;;;;;;
B;010;283980;64;20030619 08:55;;2;18;KENT GDNS;SOLDIERS POINT;2317;;;20030213;20030313;338000;;R;RESIDENCE;2;;XA;0;9469234;
C;010;283980;64;20030619 08:55;2//SP 50404;
D;010;283980;64;20030619 08:55;P;;;;;;
D;010;283980;64;20030619 08:55;V;;;;;;
B;010;284097;65;20030619 08:55;;;6;KINGS CT;SOLDIERS POINT;2317;595.9;M;20030128;20030313;350000;A;V;VACANT LAND;;FH;AV;0;9450893;
C;010;284097;65;20030619 08:55;19//827866;
D;010;284097;65;20030619 08:55;P;;;;;;
D;010;284097;65;20030619 08:55;V;;;;;;
B;010;284330;66;20030619 08:55;;20;5;MITCHELL ST;SOLDIERS POINT;2317;;;20030121;20030311;280000;;R;RESIDENCE;20;;XA;0;9487570;
C;010;284330;66;20030619 08:55;20//SP 14983;
D;010;284330;66;20030619 08:55;P;;;;;;
D;010;284330;66;20030619 08:55;P;;;;;;
D;010;284330;66;20030619 08:55;V;;;;;;
B;010;284489;67;20030619 08:55;;;25;PANTOWORA ST;CORLETTE;2315;336.8;M;20030219;20030319;325000;A;R;RESIDENCE;;FD;AC;0;9474426;
C;010;284489;67;20030619 08:55;71//258234;
D;010;284489;67;20030619 08:55;P;;;;;;
D;010;284489;67;20030619 08:55;V;;;;;;
B;010;284492;68;20030619 08:55;;;31;PANTOWORA ST;CORLETTE;2315;246.1;M;20021223;20030207;334000;A;R;RESIDENCE;;FD;AC;0;9452819;
C;010;284492;68;20030619 08:55;75//259797;
